naive	form
ENSMUSG00000102865	0	0.0238630115245165
ENSMUSG00000102321	0	0.00861040619263413
ENSMUSG00000091318	0	0
ENSMUSG00000089489	0	0
ENSMUSG00000104433	0	0
ENSMUSG00000089395	0	0
ENSMUSG00000102926	0	0
ENSMUSG00000100497	0	0
ENSMUSG00000102917	0	0
ENSMUSG00000100481	0	0
ENSMUSG00000100590	0.0655106623493172	0
ENSMUSG00000088750	0	0
ENSMUSG00000104230	0	0
ENSMUSG00000101754	0	0
ENSMUSG00000065223	0	0
ENSMUSG00000100318	0	0.0697464007625307
ENSMUSG00000101612	0	0
ENSMUSG00000065260	0	0
ENSMUSG00000026134	15.2796901950312	9.74280829463417
ENSMUSG00000101682	0.117699778527122	0.0820362381835651
ENSMUSG00000102714	0.390282486054742	0.594067812155811
ENSMUSG00000102093	0	0
ENSMUSG00000103746	0.0962289597767178	0.35731010757385
ENSMUSG00000102198	0	0
ENSMUSG00000004768	3.30360983795859	3.05254581145952
ENSMUSG00000042215	1.50904303019933	5.35035196785162
ENSMUSG00000103072	0	0
ENSMUSG00000042197	6.18815281394234	7.54432162933356
ENSMUSG00000081402	0.753909492721947	0.169907828364175
ENSMUSG00000042182	0.265695960751706	1.17538055238118
ENSMUSG00000104416	0.0118002422312783	0.021063358452537
ENSMUSG00000026131	32.1895621450869	31.6941330938396
ENSMUSG00000103596	0.154714969898246	0.502994315124327
ENSMUSG00000099382	0	0
ENSMUSG00000084506	0	0
ENSMUSG00000103364	0.991393568718651	1.04201116086643
ENSMUSG00000105982	0.717522873931666	0.402565977198086
ENSMUSG00000096992	0.17158118729854	0.161237883319513
ENSMUSG00000103001	0.166456253742296	0.129629571253497
ENSMUSG00000104397	0	0
ENSMUSG00000102839	0	0
ENSMUSG00000101206	0.0258069819895147	0.0559941448841199
ENSMUSG00000101462	0.02042064220076	0.0100058959262718
ENSMUSG00000102336	0.0708122889971525	0.0783099927957531
ENSMUSG00000092852	0	0
ENSMUSG00000042111	8.81263860897166	4.85237474035322
ENSMUSG00000101711	0.0566875483399169	0
ENSMUSG00000026127	12.5857512047997	12.3059517662867
ENSMUSG00000026126	0.252254917872889	0.741012226939951
ENSMUSG00000100280	0.0352816477787894	0.182690652636058
ENSMUSG00000101223	0	0.0738360902542098
ENSMUSG00000026125	0.01244125110446	0.121266373108111
ENSMUSG00000101116	0	0
ENSMUSG00000026124	0.189757774461295	0.400966374566568
ENSMUSG00000101803	0	0
ENSMUSG00000037529	0.0233722125531293	0
ENSMUSG00000045815	0.235197749582871	0.060341272146308
ENSMUSG00000045174	0	0.211367569566636
ENSMUSG00000100524	0	0
ENSMUSG00000102499	0.127607289667302	0.125052409938129
ENSMUSG00000103521	0	0.0210510862001865
ENSMUSG00000104098	0.0464206084703035	0
ENSMUSG00000037509	0.792648996880895	1.41863765316016
ENSMUSG00000102537	0	0
ENSMUSG00000102612	0	0
ENSMUSG00000118272	0	0
ENSMUSG00000104002	0.793034299811902	1.33731342569514
ENSMUSG00000037503	29.3142586611874	28.9403479247837
ENSMUSG00000104358	0	0.0202727594167438
ENSMUSG00000026123	8.4788839722264	2.06522642263063
ENSMUSG00000103716	0	0
ENSMUSG00000103548	0.301150032835183	0.149743002448604
ENSMUSG00000103760	0.0440614549369751	0
ENSMUSG00000103997	0	0
ENSMUSG00000077231	0	0
ENSMUSG00000104417	0	0
ENSMUSG00000064601	0	0
ENSMUSG00000101714	0	0
ENSMUSG00000102531	0.227807038273655	0
ENSMUSG00000103096	0	0
ENSMUSG00000102279	0.444453479639252	0.0664666280661276
ENSMUSG00000103708	2.66553687185117	0.0386167100334564
ENSMUSG00000104201	1.57646010638617	0
ENSMUSG00000102434	0.0918671172262549	0
ENSMUSG00000045216	22.0797893343259	14.9577597608872
ENSMUSG00000104523	0.275462001476373	0.0767139766459289
ENSMUSG00000102202	0.0201889622417925	0
ENSMUSG00000037470	27.7504835804609	16.9855756712919
ENSMUSG00000098752	0.577338420560748	0
ENSMUSG00000047180	0.0315752804542583	0.0709045707701633
ENSMUSG00000037447	0.74096863071457	0.333709700186597
ENSMUSG00000102762	0	0
ENSMUSG00000010453	10.9428775945374	11.4841182265341
ENSMUSG00000098680	0	0
ENSMUSG00000037432	0.00260921770331108	0.00484173203187808
ENSMUSG00000001143	1.50023395254609	1.88360138781053
ENSMUSG00000037408	3.2328675807117	5.74771887008436
ENSMUSG00000104316	0.200741696678436	0.258589229343892
ENSMUSG00000106081	0	0
ENSMUSG00000001138	5.66059584322254	6.86604240421253
ENSMUSG00000102845	0	0
ENSMUSG00000067653	0.108788304487339	0.150981596996177
ENSMUSG00000109510	0	0
ENSMUSG00000079610	1.28665388131741	1.56238086344659
ENSMUSG00000026121	1.16515493768164	5.01429982118794
ENSMUSG00000087589	0.0117202740086539	0.178731476030731
ENSMUSG00000046337	5.4316198100613	0.847708031931452
ENSMUSG00000089906	0	0
ENSMUSG00000077939	0	0
ENSMUSG00000061518	53.7362655593457	44.3067108602462
ENSMUSG00000037351	35.0741028167314	37.5546431234163
ENSMUSG00000102416	0.0220307274684876	0.037308025433112
ENSMUSG00000104237	0	0
ENSMUSG00000026117	1.46112586477391	0.23663241736266
ENSMUSG00000097291	0	0
ENSMUSG00000026116	8.86435936282012	10.1600080544198
ENSMUSG00000103016	1.01376864085829	1.06182106924875
ENSMUSG00000102930	0.60204848681457	0.902648540396935
ENSMUSG00000103159	0.905808289529597	0.881855961515794
ENSMUSG00000080054	0.105179055817292	0.258521406127586
ENSMUSG00000095944	0	0
ENSMUSG00000050122	5.62532283129263	0.0526712922312273
ENSMUSG00000103603	0	0
ENSMUSG00000026114	3.67622574780686	0.436218342491869
ENSMUSG00000102231	0	0
ENSMUSG00000026113	1.07482053214807	1.36676474923742
ENSMUSG00000086064	0	0
ENSMUSG00000102879	0	0
ENSMUSG00000026112	21.1352050369569	16.4443372526039
ENSMUSG00000026111	23.685252910577	22.324266406084
ENSMUSG00000026110	2.18004748570211	2.40697324743852
ENSMUSG00000103948	0.14582155044781	0.0573978136431935
ENSMUSG00000087233	0.0780534650179798	0.0711491216717213
ENSMUSG00000026090	0.310900540712295	0.674578865961882
ENSMUSG00000089767	0	0
ENSMUSG00000104365	0	0
ENSMUSG00000102650	0.0334610328132591	0.115129375201136
ENSMUSG00000060771	0.90107487902488	0.625837687354235
ENSMUSG00000097268	0.00970790322816965	0.0111010513307641
ENSMUSG00000037216	4.76400205904995	3.40446234852461
ENSMUSG00000026088	10.0434065974405	5.21544958628117
ENSMUSG00000026087	21.1700485714405	16.3120099618279
ENSMUSG00000061584	0.0116956759250453	0
ENSMUSG00000087374	0	0
ENSMUSG00000026085	0	0
ENSMUSG00000089141	0	0
ENSMUSG00000058407	7.96527266463103	7.94768739390417
ENSMUSG00000026083	19.9621698515577	16.2737769239926
ENSMUSG00000026082	19.2472497496842	21.8793233673302
ENSMUSG00000103804	2.27193796838729	2.86942607612996
ENSMUSG00000102716	0	0
ENSMUSG00000037138	0.513113164625449	5.15803971028637
ENSMUSG00000085391	0	0
ENSMUSG00000085280	0	0
ENSMUSG00000087131	0	0
ENSMUSG00000102984	0	0
ENSMUSG00000102541	0	0
ENSMUSG00000103531	0	0
ENSMUSG00000048814	0.568437207423737	0.324929852115405
ENSMUSG00000026080	0.238617942226729	0.280173502044816
ENSMUSG00000103647	0	0
ENSMUSG00000102447	0.0248844486431621	0.117791986949086
ENSMUSG00000067604	0	0
ENSMUSG00000026078	12.0861015455411	14.9230494472276
ENSMUSG00000103046	1.18376981707292	1.61358777019073
ENSMUSG00000104188	0	0
ENSMUSG00000103182	0	0
ENSMUSG00000098833	0	0
ENSMUSG00000026077	0.0884671811030484	0.0132912677721124
ENSMUSG00000092553	0	0
ENSMUSG00000092563	0.0597628386387216	0.170184707551005
ENSMUSG00000073702	26.3008741092234	25.7913102903724
ENSMUSG00000003134	5.27192363415647	3.05636300516341
ENSMUSG00000102607	0.0338844215500746	0.0774941187813113
ENSMUSG00000065629	0	0
ENSMUSG00000104827	0	0
ENSMUSG00000003135	18.3350603887515	16.3031172173433
ENSMUSG00000085894	0.539373418246583	1.33902423596022
ENSMUSG00000077704	27.6518868229196	44.9721671733834
ENSMUSG00000048234	10.3051209551697	16.7974463298609
ENSMUSG00000064936	3.30938969812361	4.24645579603996
ENSMUSG00000102471	0.158138882153009	0.108112841929016
ENSMUSG00000050967	0.216181581746256	0.0721323507391996
ENSMUSG00000097083	0.550195650837946	0.089764512565299
ENSMUSG00000057173	0.117977495029002	0.113499685286239
ENSMUSG00000091937	0	0
ENSMUSG00000101634	0	0.0275162137972475
ENSMUSG00000026074	24.4212587646795	24.7537676847017
ENSMUSG00000102985	0	0
ENSMUSG00000026073	0.217952146752316	0.144096754759455
ENSMUSG00000097899	0	0
ENSMUSG00000102975	0	0
ENSMUSG00000026072	0.147431879123497	0.214412010274339
ENSMUSG00000103560	0.00255928822874155	0
ENSMUSG00000070942	0.0575557199426334	0.159397275911965
ENSMUSG00000103230	0.028044955259155	0
ENSMUSG00000026069	0	0
ENSMUSG00000026070	0	0
ENSMUSG00000026068	0.00284520058538524	0.00455776789019803
ENSMUSG00000104441	0	0
ENSMUSG00000026065	0	0.00674573625484811
ENSMUSG00000102676	0	0
ENSMUSG00000026062	0.145658962773905	0.0176254574997807
ENSMUSG00000103679	0	0
ENSMUSG00000103270	0	0
ENSMUSG00000041945	0.693349589084394	0.484755773938049
ENSMUSG00000079588	0	0
ENSMUSG00000094136	0	0
ENSMUSG00000104072	0	0
ENSMUSG00000100185	0	0
ENSMUSG00000100832	0	0
ENSMUSG00000100178	0	0
ENSMUSG00000101877	0	0
